------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '31', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=31&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nebraska by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Sherman County",31163,1.1,34,"2555 of 3140"
"Saunders County",31155,1.1,238,"2545 of 3140"
"Red Willow County",31145,1.2,127,"2516 of 3140"
"Frontier County",31063,1.2,31,"2504 of 3140"
"Cass County",31025,1.2,302,"2498 of 3140"
"Pierce County",31139,1.2,85,"2495 of 3140"
"Franklin County",31061,1.2,36,"2489 of 3140"
"Nemaha County",31127,1.2,84,"2488 of 3140"
"Knox County",31107,1.2,102,"2482 of 3140"
"Webster County",31181,1.3,45,"2436 of 3140"
"Hamilton County",31081,1.3,118,"2397 of 3140"
"Washington County",31177,1.3,273,"2368 of 3140"
"Brown County",31017,1.3,41,"2364 of 3140"
"Sheridan County",31161,1.4,74,"2312 of 3140"
"Boyd County",31015,1.5,30,"2275 of 3140"
"Burt County",31021,1.5,101,"2216 of 3140"
"Gage County",31067,1.6,349,"2170 of 3140"
"Furnas County",31065,1.6,78,"2167 of 3140"
"Box Butte County",31013,1.7,185,"2143 of 3140"
"Fillmore County",31059,1.7,94,"2124 of 3140"
"Merrick County",31121,1.7,134,"2103 of 3140"
"Valley County",31175,1.7,73,"2098 of 3140"
"Cherry County",31031,1.8,102,"2060 of 3140"
"Lincoln County",31111,1.8,631,"2049 of 3140"
"Cheyenne County",31033,1.8,178,"2045 of 3140"
"Jefferson County",31095,1.8,131,"2037 of 3140"
"Deuel County",31049,1.8,35,"2021 of 3140"
"Seward County",31159,1.8,315,"2016 of 3140"
"York County",31185,1.9,259,"1994 of 3140"
"Nuckolls County",31129,1.9,83,"1969 of 3140"
"Thurston County",31173,1.9,137,"1958 of 3140"
"Logan County",31113,2.0,18,"1948 of 3140"
"Blaine County",31009,2.0,10,"1933 of 3140"
"Antelope County",31003,2.0,128,"1930 of 3140"
"Butler County",31023,2.1,174,"1841 of 3140"
"Custer County",31041,2.3,247,"1757 of 3140"
"Kearney County",31099,2.3,153,"1732 of 3140"
"Phelps County",31137,2.4,223,"1705 of 3140"
"Sioux County",31165,2.5,31,"1687 of 3140"
"Wayne County",31179,2.6,242,"1637 of 3140"
"Stanton County",31167,2.6,155,"1635 of 3140"
"Holt County",31089,2.7,274,"1587 of 3140"
"Keith County",31101,2.7,219,"1568 of 3140"
"Garden County",31069,2.7,52,"1559 of 3140"
"Perkins County",31135,3.0,86,"1441 of 3140"
"Dawes County",31045,3.3,293,"1329 of 3140"
"Polk County",31143,3.3,174,"1313 of 3140"
"Johnson County",31097,3.4,178,"1281 of 3140"
"Hayes County",31085,3.6,34,"1243 of 3140"
"Scotts Bluff County",31157,4.0,1474,"1102 of 3140"
"Otoe County",31131,4.2,661,"1075 of 3140"
"Clay County",31035,4.2,264,"1054 of 3140"
"Buffalo County",31019,4.3,2106,"1037 of 3140"
"Morrill County",31123,5.0,243,"928 of 3140"
"Cuming County",31039,5.1,460,"905 of 3140"
"Adams County",31001,5.2,1652,"882 of 3140"
"Sarpy County",31153,5.3,9240,"872 of 3140"
"Dodge County",31053,6.6,2401,"662 of 3140"
"Dundy County",31057,6.8,137,"636 of 3140"
"Dixon County",31051,6.9,398,"621 of 3140"
"Madison County",31119,7.3,2560,"571 of 3140"
"Lancaster County",31109,7.8,23825,"528 of 3140"
"Chase County",31029,7.9,302,"514 of 3140"
"Platte County",31141,8.8,2907,"427 of 3140"
"Douglas County",31055,9.4,51686,"383 of 3140"
"Saline County",31151,13.3,1905,"214 of 3140"
"Hall County",31079,13.8,8470,"206 of 3140"
"Dawson County",31047,18.5,4438,"128 of 3140"
"Dakota County",31043,23.7,4857,"67 of 3140"
"Colfax County",31037,28.4,3010,"38 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
