------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Stafford County",20185,1.4,26,"2093 of 3141"
"Marion County",20115,1.5,74,"1998 of 3141"
"Brown County",20013,1.5,61,"1992 of 3141"
"Osage County",20139,1.5,101,"1988 of 3141"
"Dickinson County",20041,1.5,120,"1978 of 3141"
"Marshall County",20117,1.6,66,"1948 of 3141"
"Meade County",20119,1.6,27,"1903 of 3141"
"Franklin County",20059,1.6,160,"1896 of 3141"
"Lincoln County",20105,1.6,21,"1863 of 3141"
"Douglas County",20045,1.7,743,"1859 of 3141"
"Jackson County",20085,1.7,88,"1848 of 3141"
"Rooks County",20163,1.7,36,"1828 of 3141"
"Stevens County",20189,1.7,33,"1820 of 3141"
"Rice County",20159,1.7,67,"1797 of 3141"
"Coffey County",20031,1.8,66,"1663 of 3141"
"Logan County",20109,1.9,22,"1607 of 3141"
"Wilson County",20205,1.9,73,"1606 of 3141"
"Hamilton County",20075,2.0,17,"1533 of 3141"
"Montgomery County",20125,2.0,272,"1502 of 3141"
"Stanton County",20187,2.0,16,"1494 of 3141"
"Chautauqua County",20019,2.0,29,"1472 of 3141"
"Butler County",20015,2.0,494,"1468 of 3141"
"Barton County",20009,2.1,239,"1381 of 3141"
"Cowley County",20035,2.1,290,"1379 of 3141"
"Wabaunsee County",20197,2.2,59,"1338 of 3141"
"Sedgwick County",20173,2.2,4242,"1321 of 3141"
"Greeley County",20071,2.2,11,"1270 of 3141"
"Shawnee County",20177,2.3,1636,"1215 of 3141"
"Mitchell County",20123,2.3,63,"1189 of 3141"
"Greenwood County",20073,2.4,66,"1125 of 3141"
"Phillips County",20147,2.5,58,"1021 of 3141"
"Doniphan County",20043,2.5,77,"1010 of 3141"
"Pottawatomie County",20149,2.5,215,"1002 of 3141"
"Pratt County",20151,2.6,96,"973 of 3141"
"Clark County",20025,2.7,25,"853 of 3141"
"Lyon County",20111,2.8,385,"800 of 3141"
"Neosho County",20133,2.9,187,"795 of 3141"
"Labette County",20099,2.9,235,"784 of 3141"
"Grant County",20067,3.0,79,"736 of 3141"
"Reno County",20155,3.1,769,"702 of 3141"
"Scott County",20171,3.4,71,"561 of 3141"
"Linn County",20107,3.4,151,"552 of 3141"
"Gray County",20069,3.4,73,"551 of 3141"
"Bourbon County",20011,3.5,195,"535 of 3141"
"Wyandotte County",20209,3.8,2247,"433 of 3141"
"Geary County",20061,3.9,504,"405 of 3141"
"Wichita County",20203,3.9,35,"394 of 3141"
"Riley County",20161,4.1,1091,"359 of 3141"
"Crawford County",20037,4.2,626,"338 of 3141"
"Haskell County",20081,5.1,68,"212 of 3141"
"Seward County",20175,6.7,507,"119 of 3141"
"Ford County",20057,6.8,775,"111 of 3141"
"Finney County",20055,8.0,1011,"82 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
