------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Marshall County",20117,23.6,2323,"1072 of 3141"
"Montgomery County",20125,23.6,7887,"1067 of 3141"
"Atchison County",20005,23.6,3890,"1046 of 3141"
"Logan County",20109,23.7,660,"1031 of 3141"
"Labette County",20099,23.7,4872,"1011 of 3141"
"Sheridan County",20179,23.8,594,"973 of 3141"
"Sherman County",20181,23.8,1428,"967 of 3141"
"Wilson County",20205,23.9,2114,"939 of 3141"
"Lane County",20101,23.9,407,"920 of 3141"
"Saline County",20169,23.9,13244,"910 of 3141"
"Cowley County",20035,23.9,8557,"905 of 3141"
"Barber County",20007,24.0,1175,"901 of 3141"
"Leavenworth County",20103,24.1,19098,"854 of 3141"
"Clay County",20027,24.1,1975,"849 of 3141"
"Barton County",20009,24.1,6527,"831 of 3141"
"Cherokee County",20021,24.1,4945,"827 of 3141"
"Ottawa County",20143,24.2,1440,"800 of 3141"
"Shawnee County",20177,24.2,43150,"792 of 3141"
"Dickinson County",20041,24.2,4635,"791 of 3141"
"Stafford County",20185,24.3,1033,"750 of 3141"
"Pratt County",20151,24.3,2353,"741 of 3141"
"Harper County",20077,24.4,1401,"726 of 3141"
"Clark County",20025,24.4,510,"713 of 3141"
"Morton County",20129,24.6,720,"672 of 3141"
"Franklin County",20059,24.6,6292,"668 of 3141"
"Wabaunsee County",20197,24.6,1705,"644 of 3141"
"Scott County",20171,24.7,1231,"629 of 3141"
"Neosho County",20133,24.9,4040,"563 of 3141"
"Harvey County",20079,25.0,8661,"553 of 3141"
"Sumner County",20191,25.0,5836,"543 of 3141"
"Anderson County",20003,25.0,1962,"536 of 3141"
"Johnson County",20091,25.1,145540,"508 of 3141"
"Miami County",20121,25.3,8340,"478 of 3141"
"Jackson County",20085,25.5,3393,"452 of 3141"
"Bourbon County",20011,25.5,3768,"434 of 3141"
"Brown County",20013,25.6,2495,"417 of 3141"
"Butler County",20015,25.9,17184,"372 of 3141"
"Nemaha County",20131,26.2,2643,"340 of 3141"
"Sedgwick County",20173,26.3,134122,"334 of 3141"
"Meade County",20119,26.6,1141,"305 of 3141"
"Wallace County",20199,27.0,429,"259 of 3141"
"Wichita County",20203,27.2,586,"231 of 3141"
"Wyandotte County",20209,28.1,45836,"159 of 3141"
"Hamilton County",20075,28.8,755,"127 of 3141"
"Haskell County",20081,28.9,1179,"124 of 3141"
"Pottawatomie County",20149,29.2,6764,"109 of 3141"
"Kearny County",20093,29.3,1153,"105 of 3141"
"Gray County",20069,29.3,1762,"104 of 3141"
"Stanton County",20187,29.8,628,"94 of 3141"
"Ford County",20057,30.6,10598,"79 of 3141"
"Stevens County",20189,30.7,1763,"75 of 3141"
"Geary County",20061,31.0,11097,"71 of 3141"
"Finney County",20055,31.1,11554,"66 of 3141"
"Seward County",20175,31.4,7201,"59 of 3141"
"Grant County",20067,31.8,2452,"48 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
