------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"Barber County",20007,51.5,2525,"2674 of 3141"
"Rawlins County",20153,51.6,1300,"2699 of 3141"
"Edwards County",20047,51.6,1520,"2701 of 3141"
"Ford County",20057,51.7,17933,"2730 of 3141"
"Chautauqua County",20019,51.9,1778,"2758 of 3141"
"Morton County",20129,52.3,1534,"2834 of 3141"
"Ottawa County",20143,52.3,3118,"2836 of 3141"
"Hamilton County",20075,52.7,1381,"2870 of 3141"
"Grant County",20067,52.7,4066,"2871 of 3141"
"Geary County",20061,53.1,19025,"2912 of 3141"
"Riley County",20161,53.4,40410,"2934 of 3141"
"Leavenworth County",20103,53.7,42581,"2961 of 3141"
"Ellsworth County",20053,56.5,3576,"3061 of 3141"
"Norton County",20137,56.6,3127,"3062 of 3141"
"Pawnee County",20145,56.7,3842,"3066 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
