------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Neosho County",20133,2.9,225,"303 of 3141"
"Logan County",20109,3.0,43,"312 of 3141"
"Smith County",20183,3.0,53,"315 of 3141"
"Ellsworth County",20053,3.0,85,"326 of 3141"
"Kiowa County",20097,3.0,40,"330 of 3141"
"Ottawa County",20143,3.3,102,"388 of 3141"
"Clay County",20027,3.3,141,"397 of 3141"
"Brown County",20013,3.4,162,"425 of 3141"
"Rooks County",20163,3.4,89,"435 of 3141"
"Lane County",20101,3.5,32,"444 of 3141"
"Johnson County",20091,3.5,11370,"451 of 3141"
"Haskell County",20081,3.6,73,"494 of 3141"
"Allen County",20001,3.6,227,"508 of 3141"
"Stafford County",20185,3.7,77,"512 of 3141"
"Harper County",20077,3.7,99,"513 of 3141"
"Coffey County",20031,3.7,161,"536 of 3141"
"Mitchell County",20123,3.8,114,"566 of 3141"
"Pottawatomie County",20149,3.9,441,"589 of 3141"
"Greenwood County",20073,3.9,113,"594 of 3141"
"Marion County",20115,3.9,233,"604 of 3141"
"Kearny County",20093,3.9,74,"610 of 3141"
"Sherman County",20181,4.1,123,"660 of 3141"
"Marshall County",20117,4.1,210,"666 of 3141"
"Pratt County",20151,4.1,199,"668 of 3141"
"Anderson County",20003,4.2,152,"673 of 3141"
"Barton County",20009,4.2,590,"676 of 3141"
"Saline County",20169,4.2,1220,"699 of 3141"
"Leavenworth County",20103,4.2,1528,"701 of 3141"
"Wabaunsee County",20197,4.3,150,"716 of 3141"
"Miami County",20121,4.4,741,"750 of 3141"
"Doniphan County",20043,4.5,175,"812 of 3141"
"Stevens County",20189,4.5,121,"826 of 3141"
"Butler County",20015,4.5,1487,"842 of 3141"
"Grant County",20067,4.6,176,"884 of 3141"
"Douglas County",20045,4.7,3159,"896 of 3141"
"Finney County",20055,4.7,921,"912 of 3141"
"Kingman County",20095,4.7,181,"921 of 3141"
"Labette County",20099,4.7,473,"927 of 3141"
"Chase County",20017,4.8,58,"949 of 3141"
"Russell County",20167,4.8,172,"977 of 3141"
"Rush County",20165,4.9,77,"988 of 3141"
"Reno County",20155,5.0,1561,"1034 of 3141"
"Cloud County",20029,5.0,248,"1059 of 3141"
"Sumner County",20191,5.1,576,"1077 of 3141"
"Wilson County",20205,5.1,227,"1089 of 3141"
"Cowley County",20035,5.2,847,"1118 of 3141"
"Franklin County",20059,5.4,723,"1211 of 3141"
"Cherokee County",20021,5.4,494,"1217 of 3141"
"Wallace County",20199,5.4,44,"1218 of 3141"
"Crawford County",20037,5.4,1048,"1227 of 3141"
"Dickinson County",20041,5.4,497,"1228 of 3141"
"Shawnee County",20177,5.4,4821,"1240 of 3141"
"Scott County",20171,5.4,147,"1252 of 3141"
"Woodson County",20207,5.5,88,"1308 of 3141"
"Riley County",20161,5.6,2100,"1317 of 3141"
"Sedgwick County",20173,5.6,14465,"1321 of 3141"
"Jackson County",20085,5.6,372,"1327 of 3141"
"Jefferson County",20087,5.8,570,"1424 of 3141"
"Linn County",20107,5.8,254,"1427 of 3141"
"Lyon County",20111,5.8,1077,"1458 of 3141"
"Montgomery County",20125,5.8,899,"1459 of 3141"
"Lincoln County",20105,6.0,95,"1537 of 3141"
"Chautauqua County",20019,6.2,97,"1629 of 3141"
"Ford County",20057,6.3,1121,"1705 of 3141"
"Atchison County",20005,6.3,517,"1708 of 3141"
"Rice County",20159,6.5,330,"1801 of 3141"
"Elk County",20049,6.9,76,"2015 of 3141"
"Osage County",20139,7.0,547,"2037 of 3141"
"Seward County",20175,7.3,854,"2143 of 3141"
"Geary County",20061,8.0,1001,"2410 of 3141"
"Wyandotte County",20209,8.3,6645,"2523 of 3141"
"Morton County",20129,8.7,121,"2597 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
