------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '21', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kentucky by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Pike County",21195,40.3,24379,"2932 of 3141"
"Metcalfe County",21169,40.3,3981,"2934 of 3141"
"Robertson County",21201,40.9,858,"2956 of 3141"
"Fulton County",21075,41.1,2397,"2959 of 3141"
"Lewis County",21135,41.6,5554,"2970 of 3141"
"Martin County",21159,41.6,4452,"2972 of 3141"
"Letcher County",21133,41.8,9500,"2975 of 3141"
"Morgan County",21175,42.0,4844,"2984 of 3141"
"Estill County",21065,42.2,6009,"2989 of 3141"
"Rowan County",21205,42.5,9038,"2995 of 3141"
"Magoffin County",21153,42.5,5356,"2997 of 3141"
"Casey County",21045,43.1,6638,"3013 of 3141"
"Floyd County",21071,43.3,15937,"3017 of 3141"
"Owsley County",21189,44.1,1941,"3029 of 3141"
"Leslie County",21131,44.8,4636,"3048 of 3141"
"Jackson County",21109,45.2,5991,"3054 of 3141"
"Lee County",21129,46.9,2857,"3073 of 3141"
"Knott County",21119,48.1,7199,"3086 of 3141"
"Elliott County",21063,49.8,3104,"3093 of 3141"
"Breathitt County",21025,51.6,6706,"3106 of 3141"
"Harlan County",21095,52.1,13989,"3107 of 3141"
"Knox County",21121,52.1,15894,"3108 of 3141"
"Clay County",21051,52.1,10037,"3109 of 3141"
"Bell County",21013,52.5,13912,"3111 of 3141"
"Wolfe County",21237,53.7,3824,"3119 of 3141"
"McCreary County",21147,58.4,9445,"3128 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
