------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Montgomery County",48339,4.9,12775,"989 of 3141"
"San Patricio County",48409,4.9,1482,"995 of 3141"
"Johnson County",48251,4.9,3736,"1004 of 3141"
"Gray County",48179,4.9,492,"1008 of 3141"
"Brazoria County",48039,4.9,8439,"1023 of 3141"
"Rockwall County",48397,4.9,2306,"1024 of 3141"
"Deaf Smith County",48117,5.0,452,"1038 of 3141"
"Gillespie County",48171,5.0,620,"1042 of 3141"
"Knox County",48275,5.1,80,"1061 of 3141"
"Victoria County",48469,5.1,2299,"1068 of 3141"
"Coleman County",48083,5.1,177,"1072 of 3141"
"Gonzales County",48177,5.1,480,"1086 of 3141"
"Jeff Davis County",48243,5.1,49,"1093 of 3141"
"McLennan County",48309,5.1,6057,"1094 of 3141"
"Edwards County",48137,5.1,48,"1104 of 3141"
"Menard County",48327,5.1,55,"1111 of 3141"
"Bosque County",48035,5.2,406,"1114 of 3141"
"Throckmorton County",48447,5.2,36,"1119 of 3141"
"Fannin County",48147,5.2,731,"1121 of 3141"
"Cooke County",48097,5.2,1023,"1128 of 3141"
"Hutchinson County",48233,5.2,501,"1140 of 3141"
"Childress County",48075,5.2,138,"1144 of 3141"
"Lipscomb County",48295,5.2,91,"1149 of 3141"
"Wharton County",48481,5.3,1044,"1169 of 3141"
"Medina County",48325,5.3,1176,"1188 of 3141"
"Hays County",48209,5.3,5566,"1192 of 3141"
"Fort Bend County",48157,5.3,19073,"1193 of 3141"
"Jim Wells County",48249,5.3,919,"1201 of 3141"
"Culberson County",48109,5.3,55,"1204 of 3141"
"Tarrant County",48439,5.4,55237,"1214 of 3141"
"La Salle County",48283,5.4,155,"1237 of 3141"
"Austin County",48015,5.4,773,"1246 of 3141"
"Milam County",48331,5.5,551,"1268 of 3141"
"Parker County",48367,5.5,3417,"1291 of 3141"
"Grimes County",48185,5.5,607,"1292 of 3141"
"Wheeler County",48483,5.6,150,"1311 of 3141"
"Fisher County",48151,5.6,102,"1320 of 3141"
"Lamar County",48277,5.6,1259,"1344 of 3141"
"Rusk County",48401,5.7,1219,"1353 of 3141"
"Webb County",48479,5.7,6156,"1354 of 3141"
"Bandera County",48019,5.7,523,"1367 of 3141"
"Blanco County",48031,5.7,308,"1372 of 3141"
"Eastland County",48133,5.7,419,"1387 of 3141"
"Rains County",48379,5.7,279,"1388 of 3141"
"Hudspeth County",48229,5.7,66,"1406 of 3141"
"Wilbarger County",48487,5.8,388,"1425 of 3141"
"Sutton County",48435,5.9,114,"1477 of 3141"
"Uvalde County",48463,5.9,726,"1484 of 3141"
"Hopkins County",48223,5.9,967,"1495 of 3141"
"Dallas County",48113,5.9,78641,"1496 of 3141"
"Van Zandt County",48467,5.9,1407,"1499 of 3141"
"Swisher County",48437,5.9,170,"1500 of 3141"
"Nueces County",48355,5.9,10442,"1517 of 3141"
"Wilson County",48493,6.0,1330,"1523 of 3141"
"Wise County",48497,6.0,1758,"1527 of 3141"
"King County",48269,6.0,11,"1536 of 3141"
"Orange County",48361,6.0,2349,"1546 of 3141"
"Kerr County",48265,6.0,1374,"1548 of 3141"
"Falls County",48145,6.1,372,"1574 of 3141"
"Cherokee County",48073,6.1,1325,"1578 of 3141"
"Ward County",48475,6.1,312,"1585 of 3141"
"Real County",48385,6.1,83,"1589 of 3141"
"Camp County",48063,6.1,344,"1605 of 3141"
"Atascosa County",48013,6.1,1319,"1606 of 3141"
"Titus County",48449,6.1,935,"1609 of 3141"
"Bexar County",48029,6.1,56840,"1613 of 3141"
"Washington County",48477,6.2,979,"1625 of 3141"
"Henderson County",48213,6.2,2043,"1626 of 3141"
"Briscoe County",48045,6.2,48,"1632 of 3141"
"Schleicher County",48413,6.3,99,"1692 of 3141"
"Bee County",48025,6.3,680,"1693 of 3141"
"Calhoun County",48057,6.3,651,"1700 of 3141"
"Floyd County",48153,6.4,166,"1729 of 3141"
"Hale County",48189,6.4,971,"1733 of 3141"
"Kimble County",48267,6.4,138,"1734 of 3141"
"Delta County",48119,6.4,135,"1736 of 3141"
"Matagorda County",48321,6.4,1093,"1741 of 3141"
"Harris County",48201,6.4,149192,"1746 of 3141"
"Goliad County",48175,6.4,206,"1769 of 3141"
"Mitchell County",48335,6.4,193,"1771 of 3141"
"Smith County",48423,6.5,6803,"1783 of 3141"
"Jefferson County",48245,6.5,7276,"1786 of 3141"
"Kaufman County",48257,6.5,3674,"1788 of 3141"
"DeWitt County",48123,6.5,551,"1793 of 3141"
"San Jacinto County",48407,6.5,708,"1797 of 3141"
"Hunt County",48231,6.5,2690,"1808 of 3141"
"Galveston County",48167,6.5,10391,"1821 of 3141"
"Chambers County",48071,6.5,1168,"1833 of 3141"
"Grayson County",48181,6.5,4014,"1837 of 3141"
"Montague County",48337,6.6,558,"1857 of 3141"
"Val Verde County",48465,6.6,1323,"1883 of 3141"
"Hardeman County",48197,6.7,121,"1902 of 3141"
"Dawson County",48115,6.7,355,"1904 of 3141"
"Howard County",48227,6.7,1031,"1907 of 3141"
"Aransas County",48007,6.7,750,"1935 of 3141"
"Burleson County",48051,6.7,557,"1943 of 3141"
"Terrell County",48443,6.8,19,"1968 of 3141"
"Ector County",48135,6.9,5349,"1994 of 3141"
"Irion County",48235,6.9,53,"2000 of 3141"
"Hemphill County",48211,6.9,141,"2013 of 3141"
"Shackelford County",48417,7.0,113,"2041 of 3141"
"El Paso County",48141,7.0,25629,"2049 of 3141"
"Leon County",48289,7.1,500,"2075 of 3141"
"Nolan County",48353,7.1,483,"2081 of 3141"
"Collingsworth County",48087,7.1,106,"2082 of 3141"
"Brewster County",48043,7.1,318,"2085 of 3141"
"Sabine County",48403,7.1,259,"2087 of 3141"
"Clay County",48077,7.2,337,"2100 of 3141"
"Harrison County",48203,7.2,2128,"2102 of 3141"
"Bowie County",48037,7.3,2876,"2134 of 3141"
"Cass County",48067,7.3,941,"2135 of 3141"
"Frio County",48163,7.3,544,"2170 of 3141"
"Hockley County",48219,7.4,827,"2188 of 3141"
"Lampasas County",48281,7.4,689,"2189 of 3141"
"Shelby County",48419,7.4,755,"2191 of 3141"
"Yoakum County",48501,7.5,306,"2245 of 3141"
"Angelina County",48005,7.6,2971,"2270 of 3141"
"Ochiltree County",48357,7.6,386,"2284 of 3141"
"Franklin County",48159,7.6,363,"2287 of 3141"
"Crosby County",48107,7.7,209,"2305 of 3141"
"Bastrop County",48021,7.7,2809,"2333 of 3141"
"Robertson County",48395,7.7,603,"2338 of 3141"
"Waller County",48473,7.8,1836,"2343 of 3141"
"Liberty County",48291,7.8,2413,"2344 of 3141"
"Wood County",48499,7.8,1343,"2345 of 3141"
"Palo Pinto County",48363,7.9,1001,"2378 of 3141"
"Refugio County",48391,7.9,254,"2392 of 3141"
"Cochran County",48079,8.0,103,"2422 of 3141"
"Cameron County",48061,8.0,13375,"2426 of 3141"
"Reeves County",48389,8.0,448,"2430 of 3141"
"Motley County",48345,8.1,45,"2441 of 3141"
"Hidalgo County",48215,8.1,27566,"2444 of 3141"
"Kinney County",48271,8.1,119,"2452 of 3141"
"Lynn County",48305,8.1,214,"2460 of 3141"
"Hill County",48217,8.1,1293,"2465 of 3141"
"Llano County",48299,8.3,689,"2496 of 3141"
"Bell County",48027,8.3,12218,"2505 of 3141"
"Upshur County",48459,8.3,1515,"2519 of 3141"
"Polk County",48373,8.5,1664,"2555 of 3141"
"Nacogdoches County",48347,8.6,2670,"2593 of 3141"
"Red River County",48387,9.0,470,"2663 of 3141"
"Terry County",48445,9.4,474,"2756 of 3141"
"Navarro County",48349,9.4,2116,"2760 of 3141"
"Tyler County",48457,9.5,709,"2771 of 3141"
"Haskell County",48207,9.5,230,"2780 of 3141"
"Kleberg County",48273,9.7,1466,"2801 of 3141"
"Presidio County",48377,9.8,264,"2819 of 3141"
"Morris County",48343,9.9,553,"2826 of 3141"
"Coryell County",48099,9.9,2568,"2836 of 3141"
"Zavala County",48507,10.1,495,"2873 of 3141"
"Trinity County",48455,10.2,562,"2882 of 3141"
"Limestone County",48293,10.3,1009,"2887 of 3141"
"Jasper County",48241,10.3,1441,"2893 of 3141"
"Marion County",48315,10.7,434,"2929 of 3141"
"Cottle County",48101,10.7,78,"2934 of 3141"
"Foard County",48155,11.3,75,"2966 of 3141"
"Newton County",48351,11.6,650,"2987 of 3141"
"Zapata County",48505,12.4,731,"3030 of 3141"
"Maverick County",48323,12.9,3114,"3044 of 3141"
"Hall County",48191,13.0,168,"3046 of 3141"
"San Augustine County",48405,13.4,385,"3052 of 3141"
"Duval County",48131,13.6,622,"3058 of 3141"
"Brooks County",48047,13.8,400,"3066 of 3141"
"Willacy County",48489,14.5,1087,"3072 of 3141"
"Starr County",48427,15.0,3772,"3085 of 3141"
"Dimmit County",48127,15.0,671,"3086 of 3141"
"Dickens County",48125,15.0,132,"3087 of 3141"
"Jim Hogg County",48247,17.0,337,"3114 of 3141"
"McMullen County",48311,26.3,72,"3138 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
