------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Galax City",51640,7.2,490,"943 of 3141"
"Salem City",51775,7.5,1907,"930 of 3141"
"Fauquier County",51061,7.5,5139,"926 of 3141"
"Loudoun County",51107,7.6,28333,"922 of 3141"
"Bristol City",51520,7.7,1319,"913 of 3141"
"Franklin County",51067,8.0,4493,"900 of 3141"
"Gloucester County",51073,8.4,3096,"882 of 3141"
"Arlington County",51013,8.8,20278,"851 of 3141"
"Lexington City",51678,8.9,631,"849 of 3141"
"Hanover County",51085,9.2,9477,"831 of 3141"
"Radford City",51750,9.3,1625,"822 of 3141"
"Albemarle County",51003,9.6,10052,"813 of 3141"
"Fairfax County",51059,9.7,110385,"810 of 3141"
"Winchester City",51840,9.9,2715,"800 of 3141"
"Mathews County",51115,10.5,927,"772 of 3141"
"Staunton City",51790,11.2,2714,"744 of 3141"
"Powhatan County",51145,11.2,3177,"742 of 3141"
"New Kent County",51127,11.4,2340,"730 of 3141"
"Orange County",51137,12.3,4347,"703 of 3141"
"Nelson County",51125,12.8,1898,"688 of 3141"
"York County",51199,12.8,8634,"686 of 3141"
"James City County",51095,13.1,9568,"675 of 3141"
"Covington City",51580,13.3,753,"669 of 3141"
"Colonial Heights City",51570,13.3,2339,"667 of 3141"
"Manassas City",51683,13.3,5518,"666 of 3141"
"Fluvanna County",51065,13.6,3539,"655 of 3141"
"Waynesboro City",51820,13.6,2936,"652 of 3141"
"Manassas Park City",51685,13.7,2202,"649 of 3141"
"Campbell County",51031,14.0,7722,"642 of 3141"
"Culpeper County",51047,14.4,7150,"631 of 3141"
"Williamsburg City",51830,14.6,2163,"623 of 3141"
"Louisa County",51109,15.2,5298,"607 of 3141"
"Spotsylvania County",51177,15.9,20643,"594 of 3141"
"King George County",51099,16.4,4199,"579 of 3141"
"Goochland County",51075,16.5,3660,"577 of 3141"
"Stafford County",51179,17.0,23940,"569 of 3141"
"Amherst County",51009,17.6,5589,"555 of 3141"
"King William County",51101,18.4,3007,"539 of 3141"
"Middlesex County",51119,18.5,1977,"538 of 3141"
"Charlottesville City",51540,18.9,8782,"524 of 3141"
"Virginia Beach City",51810,19.0,85682,"518 of 3141"
"Appomattox County",51011,20.1,3103,"494 of 3141"
"Prince William County",51153,20.9,94217,"477 of 3141"
"Pittsylvania County",51143,21.2,13113,"471 of 3141"
"Alexandria City",51510,22.1,34123,"456 of 3141"
"Henry County",51089,22.1,11498,"455 of 3141"
"Isle of Wight County",51093,22.3,8042,"451 of 3141"
"Fredericksburg City",51630,22.5,6326,"448 of 3141"
"Chesterfield County",51041,22.7,76278,"444 of 3141"
"Amelia County",51007,23.7,3037,"429 of 3141"
"Richmond County",51159,25.8,2285,"389 of 3141"
"King and Queen County",51097,26.1,1840,"384 of 3141"
"Westmoreland County",51193,26.6,4683,"377 of 3141"
"Lancaster County",51103,28.0,3040,"352 of 3141"
"Roanoke City",51770,28.3,28228,"348 of 3141"
"Accomack County",51001,28.4,9326,"345 of 3141"
"Lynchburg City",51680,28.5,22555,"344 of 3141"
"Northumberland County",51133,28.7,3511,"341 of 3141"
"Caroline County",51033,28.8,8599,"339 of 3141"
"Henrico County",51087,29.5,95640,"328 of 3141"
"Charlotte County",51037,29.7,3611,"325 of 3141"
"Chesapeake City",51550,29.8,70171,"320 of 3141"
"Lunenburg County",51111,31.0,3831,"300 of 3141"
"Prince Edward County",51147,31.3,7179,"292 of 3141"
"Dinwiddie County",51053,31.8,8912,"286 of 3141"
"Prince George County",51149,32.3,12176,"278 of 3141"
"Cumberland County",51049,32.5,3181,"277 of 3141"
"Southampton County",51175,33.4,6035,"267 of 3141"
"Buckingham County",51029,34.5,5890,"253 of 3141"
"Northampton County",51131,35.0,4199,"247 of 3141"
"Mecklenburg County",51117,35.7,11053,"237 of 3141"
"Halifax County with South Boston City",51083,36.0,12607,"229 of 3141"
"Essex County",51057,37.8,4192,"209 of 3141"
"Nottoway County",51135,40.3,6255,"190 of 3141"
"Hopewell City",51670,40.6,9075,"185 of 3141"
"Newport News City",51700,40.7,73509,"182 of 3141"
"Suffolk City",51800,41.8,36822,"166 of 3141"
"Norfolk City",51710,42.0,103270,"163 of 3141"
"Surry County",51181,45.6,3043,"131 of 3141"
"Charles City County",51036,46.2,3245,"127 of 3141"
"Martinsville City",51690,46.8,6198,"124 of 3141"
"Richmond City",51760,48.2,106417,"111 of 3141"
"Danville City",51590,49.2,20614,"102 of 3141"
"Hampton City",51650,50.1,68223,"97 of 3141"
"Portsmouth City",51740,52.6,50243,"85 of 3141"
"Brunswick County",51025,54.2,8900,"74 of 3141"
"Sussex County",51183,56.9,6601,"60 of 3141"
"Greensville County",51081,57.9,6719,"55 of 3141"
"Franklin City",51620,58.9,4907,"52 of 3141"
"Emporia City",51595,64.3,3531,"33 of 3141"
"Petersburg City",51730,75.7,24263,"8 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
