------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Hanover County",51085,4.2,4320,"1838 of 3140"
"Essex County",51057,4.2,467,"1850 of 3140"
"Washington County",51191,4.3,2325,"1872 of 3140"
"Chesterfield County",51041,4.4,14490,"1911 of 3140"
"King George County",51099,4.5,1148,"2018 of 3140"
"Culpeper County",51047,4.6,2283,"2056 of 3140"
"Campbell County",51031,4.7,2545,"2067 of 3140"
"Frederick County",51069,4.7,3861,"2070 of 3140"
"Warren County",51187,4.7,1804,"2087 of 3140"
"Spotsylvania County",51177,4.7,6038,"2091 of 3140"
"Augusta County",51015,4.7,3493,"2126 of 3140"
"Bedford City and County",51917,4.8,3648,"2145 of 3140"
"Pulaski County",51155,4.8,1641,"2161 of 3140"
"Henrico County",51087,4.8,15471,"2168 of 3140"
"Fauquier County",51061,4.8,3274,"2169 of 3140"
"Southampton County",51175,4.8,867,"2174 of 3140"
"Isle of Wight County",51093,4.8,1734,"2175 of 3140"
"Greene County",51079,4.9,933,"2203 of 3140"
"Rockbridge County",51163,5.0,1102,"2238 of 3140"
"King William County",51101,5.1,824,"2312 of 3140"
"Suffolk City",51800,5.2,4475,"2333 of 3140"
"Brunswick County",51025,5.2,844,"2342 of 3140"
"Dinwiddie County",51053,5.2,1443,"2346 of 3140"
"Louisa County",51109,5.2,1803,"2363 of 3140"
"Madison County",51113,5.3,684,"2383 of 3140"
"Middlesex County",51119,5.5,582,"2473 of 3140"
"Stafford County",51179,5.5,7698,"2495 of 3140"
"Roanoke County",51161,5.5,5134,"2501 of 3140"
"Northumberland County",51133,5.6,680,"2507 of 3140"
"Roanoke City",51770,5.6,5499,"2517 of 3140"
"Buckingham County",51029,5.6,953,"2528 of 3140"
"Chesapeake City",51550,5.7,13209,"2548 of 3140"
"Mathews County",51115,5.7,500,"2566 of 3140"
"Shenandoah County",51171,5.7,2442,"2573 of 3140"
"Westmoreland County",51193,5.8,1007,"2587 of 3140"
"Patrick County",51141,5.8,1036,"2589 of 3140"
"Falls Church City",51610,5.9,811,"2610 of 3140"
"James City County",51095,5.9,4273,"2612 of 3140"
"Amherst County",51009,6.0,1881,"2622 of 3140"
"Galax City",51640,6.0,402,"2632 of 3140"
"Hopewell City",51670,6.0,1340,"2644 of 3140"
"Franklin City",51620,6.1,504,"2658 of 3140"
"Alexandria City",51510,6.2,9382,"2669 of 3140"
"Newport News City",51700,6.2,11028,"2671 of 3140"
"Covington City",51580,6.3,351,"2697 of 3140"
"Caroline County",51033,6.3,1861,"2703 of 3140"
"York County",51199,6.3,4213,"2707 of 3140"
"Clarke County",51043,6.4,905,"2721 of 3140"
"Hampton City",51650,6.5,8812,"2751 of 3140"
"Portsmouth City",51740,6.7,6309,"2780 of 3140"
"Orange County",51137,6.7,2358,"2787 of 3140"
"Bristol City",51520,6.8,1150,"2799 of 3140"
"Lynchburg City",51680,6.8,5323,"2803 of 3140"
"Nottoway County",51135,7.0,1080,"2832 of 3140"
"Fluvanna County",51065,7.2,1848,"2852 of 3140"
"Poquoson City",51735,7.2,855,"2853 of 3140"
"Prince George County",51149,7.3,2707,"2867 of 3140"
"Norfolk City",51710,7.3,17613,"2868 of 3140"
"Albemarle County",51003,7.3,7600,"2875 of 3140"
"Powhatan County",51145,7.3,2054,"2876 of 3140"
"Prince Edward County",51147,7.4,1666,"2881 of 3140"
"Manassas City",51683,7.4,3016,"2887 of 3140"
"Montgomery County",51121,7.8,7535,"2931 of 3140"
"Winchester City",51840,7.8,2112,"2934 of 3140"
"Lexington City",51678,8.0,563,"2942 of 3140"
"Goochland County",51075,8.0,1769,"2957 of 3140"
"Richmond City",51760,8.3,18043,"2972 of 3140"
"Fairfax City",51600,8.8,2045,"3010 of 3140"
"Petersburg City",51730,8.9,2816,"3016 of 3140"
"Martinsville City",51690,9.1,1186,"3030 of 3140"
"Colonial Heights City",51570,9.6,1678,"3048 of 3140"
"New Kent County",51127,10.1,2056,"3060 of 3140"
"Staunton City",51790,10.2,2454,"3063 of 3140"
"Salem City",51775,10.3,2603,"3068 of 3140"
"Richmond County",51159,10.4,913,"3075 of 3140"
"Bland County",51021,10.5,682,"3080 of 3140"
"Waynesboro City",51820,10.7,2292,"3084 of 3140"
"Charlottesville City",51540,11.0,5075,"3091 of 3140"
"Manassas Park City",51685,11.1,1783,"3096 of 3140"
"Emporia City",51595,12.1,662,"3108 of 3140"
"Fredericksburg City",51630,14.3,3945,"3124 of 3140"
"Norton City",51720,15.0,601,"3126 of 3140"
"Williamsburg City",51830,15.4,2268,"3131 of 3140"
"Harrisonburg City",51660,15.6,8178,"3132 of 3140"
"Greensville County",51081,15.9,1840,"3133 of 3140"
"Sussex County",51183,16.2,1863,"3135 of 3140"
"Radford City",51750,20.2,3484,"3139 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
