------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Hanover County",51085,86.7,89541,"1858 of 3141"
"Fauquier County",51061,86.9,59448,"1845 of 3141"
"Greene County",51079,87.0,16710,"1841 of 3141"
"Gloucester County",51073,87.7,32477,"1789 of 3141"
"Salem City",51775,88.3,22534,"1717 of 3141"
"Galax City",51640,88.4,5999,"1707 of 3141"
"Bristol City",51520,88.4,15098,"1702 of 3141"
"Roanoke County",51161,88.7,82835,"1672 of 3141"
"Franklin County",51067,89.0,50101,"1645 of 3141"
"Buena Vista City",51530,89.1,5784,"1641 of 3141"
"Clarke County",51043,89.3,12800,"1616 of 3141"
"Bedford City and County",51917,89.6,69294,"1592 of 3141"
"Bath County",51017,89.8,4003,"1573 of 3141"
"Warren County",51187,90.6,35339,"1499 of 3141"
"Norton City",51720,90.8,3672,"1479 of 3141"
"Frederick County",51069,91.3,76490,"1416 of 3141"
"Rappahannock County",51157,91.3,6721,"1411 of 3141"
"Patrick County",51141,92.0,16519,"1323 of 3141"
"Pulaski County",51155,92.1,31613,"1309 of 3141"
"Wise County",51195,92.5,36557,"1262 of 3141"
"Alleghany County and Clifton Forge City",51005,92.5,14328,"1260 of 3141"
"Augusta County",51015,93.1,69236,"1180 of 3141"
"Rockingham County",51165,93.2,73293,"1156 of 3141"
"Rockbridge County",51163,93.3,20938,"1131 of 3141"
"Grayson County",51077,93.3,14657,"1130 of 3141"
"Lee County",51105,93.3,22797,"1127 of 3141"
"Botetourt County",51023,93.9,31130,"1030 of 3141"
"Shenandoah County",51171,94.1,40345,"997 of 3141"
"Poquoson City",51735,94.5,11357,"933 of 3141"
"Bland County",51021,94.7,6175,"892 of 3141"
"Tazewell County",51185,94.7,40438,"875 of 3141"
"Wythe County",51197,94.8,27544,"862 of 3141"
"Buchanan County",51027,95.5,21588,"743 of 3141"
"Smyth County",51173,95.7,29959,"677 of 3141"
"Page County",51139,95.8,22690,"666 of 3141"
"Floyd County",51063,95.9,14947,"644 of 3141"
"Washington County",51191,96.3,52420,"535 of 3141"
"Giles County",51071,96.7,16304,"424 of 3141"
"Carroll County",51035,97.5,29014,"199 of 3141"
"Russell County",51167,97.7,27076,"160 of 3141"
"Scott County",51169,98.1,21859,"83 of 3141"
"Dickenson County",51051,98.2,14915,"58 of 3141"
"Highland County",51091,99.4,2200,"13 of 3141"
"Craig County",51045,99.4,5102,"11 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
