------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '51', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=51&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Virginia by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Hanover County",51085,50.9,52565,"2180 of 3141"
"Radford City",51750,50.9,8854,"2196 of 3141"
"Giles County",51071,51.0,8594,"2209 of 3141"
"Pittsylvania County",51143,51.0,31598,"2239 of 3141"
"Alleghany County and Clifton Forge City",51005,51.0,7903,"2267 of 3141"
"Accomack County",51001,51.0,16761,"2284 of 3141"
"Charles City County",51036,51.1,3585,"2295 of 3141"
"Rockingham County",51165,51.1,40168,"2326 of 3141"
"Russell County",51167,51.1,14162,"2334 of 3141"
"Isle of Wight County",51093,51.1,18439,"2343 of 3141"
"Wythe County",51197,51.1,14848,"2366 of 3141"
"Winchester City",51840,51.1,14072,"2392 of 3141"
"Greene County",51079,51.1,9826,"2394 of 3141"
"Louisa County",51109,51.1,17806,"2400 of 3141"
"Chesapeake City",51550,51.2,120475,"2426 of 3141"
"Poquoson City",51735,51.2,6158,"2467 of 3141"
"Galax City",51640,51.3,3484,"2541 of 3141"
"Shenandoah County",51171,51.3,22004,"2560 of 3141"
"Nelson County",51125,51.4,7639,"2590 of 3141"
"Madison County",51113,51.4,6739,"2601 of 3141"
"Appomattox County",51011,51.4,7955,"2624 of 3141"
"Campbell County",51031,51.5,28413,"2660 of 3141"
"Newport News City",51700,51.5,93177,"2683 of 3141"
"Suffolk City",51800,51.6,45463,"2731 of 3141"
"Hampton City",51650,51.7,70435,"2769 of 3141"
"James City County",51095,51.7,37763,"2779 of 3141"
"Waynesboro City",51820,51.7,11182,"2782 of 3141"
"Mecklenburg County",51117,51.7,16015,"2786 of 3141"
"Portsmouth City",51740,51.8,49466,"2808 of 3141"
"Henry County",51089,51.8,26918,"2825 of 3141"
"Amherst County",51009,51.8,16488,"2831 of 3141"
"Surry County",51181,51.8,3457,"2834 of 3141"
"Chesterfield County",51041,51.8,173950,"2836 of 3141"
"Alexandria City",51510,51.8,80209,"2841 of 3141"
"Charlottesville City",51540,52.0,24151,"2878 of 3141"
"Roanoke County",51161,52.0,48608,"2901 of 3141"
"Roanoke City",51770,52.1,51836,"2908 of 3141"
"Mathews County",51115,52.1,4601,"2922 of 3141"
"Harrisonburg City",51660,52.1,27650,"2923 of 3141"
"Albemarle County",51003,52.2,54822,"2945 of 3141"
"Northampton County",51131,52.2,6261,"2948 of 3141"
"Richmond City",51760,52.5,116039,"3009 of 3141"
"Henrico County",51087,52.7,170774,"3030 of 3141"
"Halifax County with South Boston City",51083,52.9,18525,"3054 of 3141"
"Lynchburg City",51680,53.1,42071,"3071 of 3141"
"Salem City",51775,53.2,13574,"3084 of 3141"
"Bristol City",51520,53.3,9103,"3089 of 3141"
"Hopewell City",51670,53.7,12011,"3103 of 3141"
"Lancaster County",51103,53.8,5835,"3107 of 3141"
"Colonial Heights City",51570,53.9,9474,"3111 of 3141"
"Highland County",51091,53.9,1193,"3114 of 3141"
"Williamsburg City",51830,53.9,7988,"3115 of 3141"
"Petersburg City",51730,54.1,17334,"3118 of 3141"
"Staunton City",51790,54.1,13143,"3120 of 3141"
"Fredericksburg City",51630,54.2,15245,"3121 of 3141"
"Fluvanna County",51065,54.3,14181,"3125 of 3141"
"Danville City",51590,54.4,22782,"3126 of 3141"
"Buena Vista City",51530,54.7,3550,"3130 of 3141"
"Martinsville City",51690,54.7,7246,"3131 of 3141"
"Emporia City",51595,54.7,3007,"3133 of 3141"
"Essex County",51057,55.8,6184,"3136 of 3141"
"Franklin City",51620,56.0,4671,"3138 of 3141"
"Norton City",51720,58.1,2349,"3141 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
