------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Webster County",19187,20.4,5048,"1323 of 3141"
"Greene County",19073,20.6,1309,"1303 of 3141"
"Emmet County",19063,20.6,1340,"1301 of 3141"
"Page County",19145,20.6,2292,"1298 of 3141"
"Hancock County",19081,20.7,1607,"1289 of 3141"
"Hardin County",19083,20.7,2500,"1276 of 3141"
"Plymouth County",19149,20.7,3465,"1273 of 3141"
"Fremont County",19071,20.8,1036,"1255 of 3141"
"Winnebago County",19189,20.8,1523,"1253 of 3141"
"Floyd County",19067,20.9,2313,"1237 of 3141"
"Guthrie County",19077,21.1,1586,"1221 of 3141"
"Washington County",19183,21.1,3157,"1217 of 3141"
"Muscatine County",19139,21.1,5989,"1216 of 3141"
"Pottawattamie County",19155,21.2,13297,"1208 of 3141"
"Shelby County",19165,21.2,1762,"1202 of 3141"
"Decatur County",19053,21.5,1056,"1171 of 3141"
"Clay County",19041,21.7,2483,"1149 of 3141"
"Lyon County",19119,21.7,1650,"1148 of 3141"
"Benton County",19011,22.0,3862,"1116 of 3141"
"Cerro Gordo County",19033,22.2,6811,"1092 of 3141"
"Cedar County",19031,22.4,2896,"1062 of 3141"
"Woodbury County",19193,22.4,14611,"1060 of 3141"
"Carroll County",19027,22.5,3118,"1054 of 3141"
"Poweshiek County",19157,22.7,2719,"1019 of 3141"
"Mills County",19129,22.8,2343,"1003 of 3141"
"Hamilton County",19079,23.5,2496,"936 of 3141"
"Madison County",19121,23.5,2496,"934 of 3141"
"Mahaska County",19123,23.8,3570,"895 of 3141"
"Boone County",19015,24.2,4438,"852 of 3141"
"Palo Alto County",19147,25.6,1604,"766 of 3141"
"Marion County",19125,26.1,5634,"719 of 3141"
"Grundy County",19075,26.3,2261,"705 of 3141"
"Sioux County",19167,27.5,5637,"616 of 3141"
"Black Hawk County",19013,27.5,22969,"611 of 3141"
"Winneshiek County",19191,28.8,3880,"543 of 3141"
"Bremer County",19017,29.0,4722,"536 of 3141"
"Dickinson County",19059,29.5,3719,"519 of 3141"
"Dubuque County",19061,30.0,19255,"484 of 3141"
"Warren County",19181,30.4,9647,"461 of 3141"
"Scott County",19163,31.9,36877,"380 of 3141"
"Linn County",19113,32.3,47430,"363 of 3141"
"Jefferson County",19101,33.4,4207,"323 of 3141"
"Polk County",19153,35.3,108854,"252 of 3141"
"Dallas County",19049,49.1,25829,"54 of 3141"
"Story County",19169,50.6,24883,"43 of 3141"
"Johnson County",19103,52.7,44526,"32 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
