------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Mills County",19129,3.2,242,"354 of 3141"
"Ida County",19093,3.2,116,"361 of 3141"
"Butler County",19023,3.2,245,"365 of 3141"
"Monona County",19133,3.2,143,"369 of 3141"
"Buchanan County",19019,3.2,348,"373 of 3141"
"Johnson County",19103,3.3,2765,"383 of 3141"
"Humboldt County",19091,3.3,161,"395 of 3141"
"Allamakee County",19005,3.3,237,"401 of 3141"
"Cherokee County",19035,3.3,207,"407 of 3141"
"Clay County",19041,3.4,289,"419 of 3141"
"Muscatine County",19139,3.5,782,"443 of 3141"
"Davis County",19051,3.5,144,"452 of 3141"
"Fayette County",19065,3.5,367,"461 of 3141"
"Pocahontas County",19151,3.5,123,"463 of 3141"
"Guthrie County",19077,3.5,196,"464 of 3141"
"Benton County",19011,3.6,487,"472 of 3141"
"Mitchell County",19131,3.6,193,"483 of 3141"
"Marion County",19125,3.6,637,"484 of 3141"
"Bremer County",19017,3.6,487,"500 of 3141"
"Washington County",19183,3.6,424,"502 of 3141"
"Shelby County",19165,3.7,231,"519 of 3141"
"Linn County",19113,3.8,4627,"554 of 3141"
"Tama County",19171,3.8,336,"562 of 3141"
"Warren County",19181,3.8,1020,"567 of 3141"
"Dubuque County",19061,3.9,2038,"577 of 3141"
"Page County",19145,3.9,293,"590 of 3141"
"Emmet County",19063,3.9,200,"599 of 3141"
"Sac County",19161,4.0,208,"619 of 3141"
"Louisa County",19115,4.1,235,"642 of 3141"
"Cerro Gordo County",19033,4.1,939,"650 of 3141"
"Scott County",19163,4.2,3654,"679 of 3141"
"Lucas County",19117,4.2,179,"692 of 3141"
"Jones County",19105,4.2,425,"695 of 3141"
"Adams County",19003,4.2,79,"697 of 3141"
"Clinton County",19045,4.2,1005,"698 of 3141"
"Union County",19175,4.3,280,"740 of 3141"
"Clarke County",19039,4.4,210,"753 of 3141"
"Boone County",19015,4.4,633,"773 of 3141"
"Story County",19169,4.4,2382,"799 of 3141"
"Jasper County",19099,4.6,833,"849 of 3141"
"Franklin County",19069,4.6,232,"870 of 3141"
"Poweshiek County",19157,4.6,465,"871 of 3141"
"Jackson County",19097,4.7,475,"897 of 3141"
"Pottawattamie County",19155,4.7,2320,"919 of 3141"
"Polk County",19153,4.7,12424,"924 of 3141"
"Woodbury County",19193,4.8,2582,"948 of 3141"
"Van Buren County",19177,4.8,164,"967 of 3141"
"Buena Vista County",19021,4.9,547,"994 of 3141"
"Ringgold County",19159,5.0,112,"1039 of 3141"
"Decatur County",19053,5.0,200,"1051 of 3141"
"Madison County",19121,5.2,441,"1161 of 3141"
"Keokuk County",19107,5.3,273,"1165 of 3141"
"Marshall County",19127,5.3,1065,"1166 of 3141"
"Black Hawk County",19013,5.3,3840,"1180 of 3141"
"Henry County",19087,5.5,537,"1265 of 3141"
"Monroe County",19135,5.6,223,"1319 of 3141"
"Des Moines County",19057,5.6,1143,"1326 of 3141"
"Mahaska County",19123,5.6,646,"1329 of 3141"
"Webster County",19187,5.7,997,"1361 of 3141"
"Wright County",19197,5.8,364,"1457 of 3141"
"Worth County",19195,6.2,248,"1619 of 3141"
"Greene County",19073,6.2,296,"1623 of 3141"
"Crawford County",19047,6.2,538,"1653 of 3141"
"Appanoose County",19007,6.3,372,"1718 of 3141"
"Wapello County",19179,6.3,1100,"1719 of 3141"
"Jefferson County",19101,6.7,597,"1894 of 3141"
"Montgomery County",19137,6.7,349,"1931 of 3141"
"Winnebago County",19189,7.0,385,"2053 of 3141"
"Lee County",19111,7.6,1317,"2272 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
