------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Mahaska County",19123,95.3,21256,"773 of 3141"
"Decatur County",19053,95.4,7733,"756 of 3141"
"Hardin County",19083,95.4,16454,"750 of 3141"
"Plymouth County",19149,95.5,23897,"739 of 3141"
"Fayette County",19065,95.6,19250,"715 of 3141"
"Jasper County",19099,95.6,35171,"710 of 3141"
"Taylor County",19173,95.6,5941,"707 of 3141"
"Marion County",19125,95.7,31710,"675 of 3141"
"Monona County",19133,95.8,8494,"657 of 3141"
"Jones County",19105,95.8,19616,"650 of 3141"
"Shelby County",19165,95.9,11288,"635 of 3141"
"Calhoun County",19025,96.0,9417,"613 of 3141"
"Clay County",19041,96.0,15733,"600 of 3141"
"Bremer County",19017,96.1,23770,"586 of 3141"
"Emmet County",19063,96.1,9288,"576 of 3141"
"Fremont County",19071,96.1,6716,"569 of 3141"
"Pocahontas County",19151,96.2,6707,"552 of 3141"
"Monroe County",19135,96.2,7614,"544 of 3141"
"Palo Alto County",19147,96.4,8780,"503 of 3141"
"Warren County",19181,96.5,46926,"481 of 3141"
"Boone County",19015,96.6,25493,"434 of 3141"
"Mills County",19129,96.7,14433,"426 of 3141"
"Washington County",19183,96.7,21363,"416 of 3141"
"Hancock County",19081,96.7,10609,"412 of 3141"
"Allamakee County",19005,96.8,13493,"383 of 3141"
"Jackson County",19097,96.9,18803,"359 of 3141"
"Winneshiek County",19191,96.9,19944,"344 of 3141"
"Worth County",19195,97.0,7274,"337 of 3141"
"Union County",19175,97.0,12119,"333 of 3141"
"Wayne County",19185,97.0,6213,"323 of 3141"
"Cedar County",19031,97.0,17821,"318 of 3141"
"Lyon County",19119,97.0,11398,"314 of 3141"
"Ringgold County",19159,97.1,4842,"291 of 3141"
"Carroll County",19027,97.2,19846,"280 of 3141"
"Cherokee County",19035,97.2,11257,"262 of 3141"
"Kossuth County",19109,97.2,14748,"260 of 3141"
"Dickinson County",19059,97.3,16535,"253 of 3141"
"Audubon County",19009,97.3,5559,"231 of 3141"
"Adams County",19003,97.4,3686,"221 of 3141"
"Guthrie County",19077,97.4,10386,"220 of 3141"
"Appanoose County",19007,97.4,12222,"215 of 3141"
"Cass County",19029,97.4,12985,"208 of 3141"
"Madison County",19121,97.5,15321,"201 of 3141"
"Ida County",19093,97.5,6794,"185 of 3141"
"Humboldt County",19091,97.6,9352,"180 of 3141"
"Harrison County",19085,97.6,13850,"176 of 3141"
"Sac County",19161,97.6,9694,"175 of 3141"
"Iowa County",19095,97.6,15847,"164 of 3141"
"Buchanan County",19019,97.7,20619,"152 of 3141"
"Greene County",19073,97.7,8840,"150 of 3141"
"Butler County",19023,97.7,14488,"145 of 3141"
"Benton County",19011,97.8,25070,"144 of 3141"
"Clayton County",19043,97.8,17320,"132 of 3141"
"Mitchell County",19131,97.9,10438,"114 of 3141"
"Van Buren County",19177,97.9,7155,"111 of 3141"
"Adair County",19001,98.0,7045,"103 of 3141"
"Davis County",19051,98.0,8658,"90 of 3141"
"Chickasaw County",19037,98.1,11908,"80 of 3141"
"Delaware County",19055,98.1,17003,"72 of 3141"
"Keokuk County",19107,98.1,10033,"69 of 3141"
"Howard County",19089,98.2,9152,"66 of 3141"
"Grundy County",19075,98.3,12138,"56 of 3141"
"Lucas County",19117,99.2,8535,"20 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
