------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Calhoun County",19025,2.7,187,"678 of 3141"
"Winneshiek County",19191,2.7,361,"682 of 3141"
"Butler County",19023,2.7,280,"683 of 3141"
"Hamilton County",19079,2.7,292,"725 of 3141"
"Hancock County",19081,2.8,217,"756 of 3141"
"Worth County",19195,2.9,150,"806 of 3141"
"Cass County",19029,2.9,270,"814 of 3141"
"Jones County",19105,2.9,418,"817 of 3141"
"Clinton County",19045,2.9,963,"843 of 3141"
"Iowa County",19095,3.0,332,"861 of 3141"
"Taylor County",19173,3.0,129,"867 of 3141"
"Mahaska County",19123,3.0,444,"870 of 3141"
"Humboldt County",19091,3.1,206,"939 of 3141"
"Marion County",19125,3.2,688,"998 of 3141"
"O'Brien County",19141,3.2,310,"1011 of 3141"
"Franklin County",19069,3.2,231,"1013 of 3141"
"Audubon County",19009,3.2,134,"1020 of 3141"
"Guthrie County",19077,3.2,244,"1027 of 3141"
"Union County",19175,3.3,278,"1041 of 3141"
"Montgomery County",19137,3.3,234,"1049 of 3141"
"Black Hawk County",19013,3.3,2754,"1064 of 3141"
"Plymouth County",19149,3.3,558,"1089 of 3141"
"Fayette County",19065,3.4,466,"1099 of 3141"
"Pottawattamie County",19155,3.4,2135,"1119 of 3141"
"Polk County",19153,3.5,10668,"1155 of 3141"
"Appanoose County",19007,3.5,315,"1186 of 3141"
"Hardin County",19083,3.5,426,"1193 of 3141"
"Shelby County",19165,3.6,299,"1234 of 3141"
"Monona County",19133,3.6,234,"1240 of 3141"
"Floyd County",19067,3.6,399,"1241 of 3141"
"Clayton County",19043,3.9,487,"1375 of 3141"
"Jackson County",19097,3.9,527,"1376 of 3141"
"Chickasaw County",19037,3.9,329,"1406 of 3141"
"Wright County",19197,4.0,358,"1432 of 3141"
"Carroll County",19027,4.0,558,"1445 of 3141"
"Buchanan County",19019,4.1,574,"1489 of 3141"
"Tama County",19171,4.1,484,"1500 of 3141"
"Clarke County",19039,4.3,271,"1546 of 3141"
"Monroe County",19135,4.3,229,"1547 of 3141"
"Delaware County",19055,4.3,506,"1559 of 3141"
"Emmet County",19063,4.4,289,"1637 of 3141"
"Lyon County",19119,4.6,348,"1706 of 3141"
"Washington County",19183,4.6,695,"1733 of 3141"
"Osceola County",19143,4.7,203,"1776 of 3141"
"Wapello County",19179,5.3,1284,"1973 of 3141"
"Mitchell County",19131,5.5,400,"2021 of 3141"
"Muscatine County",19139,5.8,1636,"2121 of 3141"
"Decatur County",19053,5.8,283,"2123 of 3141"
"Howard County",19089,5.8,371,"2148 of 3141"
"Sioux County",19167,5.8,1201,"2155 of 3141"
"Wayne County",19185,6.3,274,"2273 of 3141"
"Woodbury County",19193,6.3,4084,"2279 of 3141"
"Van Buren County",19177,6.4,324,"2320 of 3141"
"Allamakee County",19005,7.1,696,"2497 of 3141"
"Louisa County",19115,7.4,566,"2551 of 3141"
"Marshall County",19127,8.4,2237,"2691 of 3141"
"Crawford County",19047,12.1,1345,"2980 of 3141"
"Davis County",19051,12.1,675,"2981 of 3141"
"Buena Vista County",19021,12.5,1595,"2996 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
