------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '19', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=19&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Iowa by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"Cherokee County",19035,49.9,5773,"1092 of 3141"
"Kossuth County",19109,49.9,7568,"1116 of 3141"
"Winneshiek County",19191,49.9,10269,"1128 of 3141"
"Hardin County",19083,49.9,8605,"1134 of 3141"
"Washington County",19183,49.9,11029,"1135 of 3141"
"Madison County",19121,49.9,7850,"1148 of 3141"
"O'Brien County",19141,49.9,6965,"1156 of 3141"
"Wright County",19197,50.0,6433,"1202 of 3141"
"Delaware County",19055,50.0,8667,"1217 of 3141"
"Butler County",19023,50.1,7420,"1250 of 3141"
"Ida County",19093,50.1,3487,"1258 of 3141"
"Guthrie County",19077,50.1,5343,"1288 of 3141"
"Chickasaw County",19037,50.1,6087,"1331 of 3141"
"Benton County",19011,50.1,12860,"1333 of 3141"
"Palo Alto County",19147,50.2,4570,"1348 of 3141"
"Cedar County",19031,50.2,9220,"1370 of 3141"
"Worth County",19195,50.2,3768,"1398 of 3141"
"Buchanan County",19019,50.3,10604,"1428 of 3141"
"Jackson County",19097,50.3,9770,"1510 of 3141"
"Clarke County",19039,50.4,4667,"1531 of 3141"
"Emmet County",19063,50.4,4869,"1570 of 3141"
"Mitchell County",19131,50.4,5375,"1579 of 3141"
"Muscatine County",19139,50.5,21667,"1660 of 3141"
"Grundy County",19075,50.5,6237,"1667 of 3141"
"Monona County",19133,50.5,4477,"1686 of 3141"
"Tama County",19171,50.5,8706,"1692 of 3141"
"Johnson County",19103,50.5,72962,"1703 of 3141"
"Appanoose County",19007,50.5,6341,"1722 of 3141"
"Dubuque County",19061,50.5,48814,"1736 of 3141"
"Fremont County",19071,50.6,3532,"1767 of 3141"
"Harrison County",19085,50.6,7180,"1775 of 3141"
"Cass County",19029,50.6,6741,"1779 of 3141"
"Adams County",19003,50.6,1915,"1794 of 3141"
"Adair County",19001,50.6,3640,"1817 of 3141"
"Dallas County",19049,50.6,40930,"1825 of 3141"
"Wapello County",19179,50.6,17880,"1833 of 3141"
"Clay County",19041,50.6,8296,"1843 of 3141"
"Davis County",19051,50.6,4474,"1876 of 3141"
"Iowa County",19095,50.7,8222,"1894 of 3141"
"Pocahontas County",19151,50.7,3532,"1900 of 3141"
"Linn County",19113,50.7,111474,"1908 of 3141"
"Marion County",19125,50.7,16786,"1914 of 3141"
"Woodbury County",19193,50.7,51901,"1930 of 3141"
"Bremer County",19017,50.7,12546,"1950 of 3141"
"Audubon County",19009,50.7,2897,"1974 of 3141"
"Floyd County",19067,50.8,8074,"2021 of 3141"
"Carroll County",19027,50.8,10376,"2043 of 3141"
"Pottawattamie County",19155,50.8,47391,"2055 of 3141"
"Polk County",19153,50.8,237371,"2058 of 3141"
"Shelby County",19165,50.9,5988,"2126 of 3141"
"Scott County",19163,50.9,87309,"2166 of 3141"
"Black Hawk County",19013,50.9,67709,"2178 of 3141"
"Des Moines County",19057,51.0,20342,"2254 of 3141"
"Plymouth County",19149,51.0,12768,"2261 of 3141"
"Wayne County",19185,51.0,3269,"2283 of 3141"
"Clinton County",19045,51.1,24298,"2311 of 3141"
"Hamilton County",19079,51.1,7768,"2352 of 3141"
"Sac County",19161,51.2,5088,"2453 of 3141"
"Winnebago County",19189,51.2,5403,"2478 of 3141"
"Greene County",19073,51.3,4637,"2494 of 3141"
"Cerro Gordo County",19033,51.3,22123,"2515 of 3141"
"Warren County",19181,51.3,24951,"2525 of 3141"
"Humboldt County",19091,51.3,4921,"2552 of 3141"
"Ringgold County",19159,51.4,2565,"2621 of 3141"
"Union County",19175,51.5,6436,"2648 of 3141"
"Montgomery County",19137,51.8,5308,"2840 of 3141"
"Poweshiek County",19157,52.1,9607,"2931 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:14 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
