,county,fips,value (percent),households (with >1 person per room),rank within us,age,areatype,demo,file_name,race,sex,source_url,stateFIPS,topic,type,people (education: less than 9th grade),people(education: less than high school),people (education: at least bachelors degree),value (dollars),people (uninsured),households (language isolation),people (haven't moved),people (moved within county),people (moved from different county in same state),people (moved from different state),people (moved from outside us),people (age under 18),people (age 18-39),people (age 40-64),people (age 40 and over),people (age 50 and over),people (age 65 and over),people (ai/an),people (api),people (black),people (foreign born),people (hispanic),people (non-hispanic [origin recode]),people (white),people (female),people (male),families (below poverty),people (below poverty),people (<150% of poverty),people (unemployed)
10,Ben Hill County,13017.0,0.7,45.0,2885 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Putnam County,13237.0,0.9,76.0,2737 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lee County,13177.0,0.9,92.0,2716 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Worth County,13321.0,0.9,74.0,2672 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jones County,13169.0,0.9,99.0,2667 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Columbia County,13073.0,1.0,438.0,2662 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Forsyth County,13117.0,1.1,746.0,2553 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fayette County,13113.0,1.1,428.0,2530 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Butts County,13035.0,1.1,89.0,2501 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Stewart County,13259.0,1.1,20.0,2476 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Hart County,13147.0,1.1,111.0,2467 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Fannin County,13111.0,1.1,115.0,2463 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Lamar County,13171.0,1.2,75.0,2379 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Cook County,13075.0,1.2,75.0,2337 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Towns County,13281.0,1.2,57.0,2330 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Catoosa County,13047.0,1.3,309.0,2320 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Henry County,13151.0,1.3,922.0,2309 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Lumpkin County,13187.0,1.3,147.0,2276 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Harris County,13145.0,1.3,156.0,2271 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Baldwin County,13009.0,1.3,211.0,2267 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Greene County,13133.0,1.3,88.0,2265 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Bleckley County,13023.0,1.3,54.0,2259 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Oglethorpe County,13221.0,1.3,74.0,2241 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,White County,13311.0,1.3,148.0,2233 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Jackson County,13157.0,1.4,296.0,2188 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Treutlen County,13283.0,1.4,36.0,2178 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bryan County,13029.0,1.4,179.0,2082 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Walton County,13297.0,1.5,450.0,2054 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pierce County,13229.0,1.5,103.0,2053 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Warren County,13301.0,1.5,34.0,2031 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,McIntosh County,13191.0,1.5,86.0,2024 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Troup County,13285.0,1.5,376.0,1998 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Ware County,13299.0,1.5,214.0,1980 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Telfair County,13271.0,1.5,80.0,1971 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Pickens County,13227.0,1.6,182.0,1923 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Paulding County,13223.0,1.6,823.0,1919 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Elbert County,13105.0,1.6,125.0,1894 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Peach County,13225.0,1.7,168.0,1849 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Berrien County,13019.0,1.7,122.0,1821 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Atkinson County,13003.0,1.7,48.0,1804 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Fulton County,13121.0,1.7,6722.0,1785 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Cherokee County,13057.0,1.7,1433.0,1781 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Clay County,13061.0,1.7,20.0,1774 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Quitman County,13239.0,1.7,17.0,1767 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Randolph County,13243.0,1.8,52.0,1693 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Oconee County,13219.0,1.8,233.0,1669 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Long County,13183.0,1.9,100.0,1647 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Liberty County,13179.0,1.9,432.0,1625 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Cobb County,13067.0,1.9,5211.0,1600 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Newton County,13217.0,1.9,691.0,1568 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bibb County,13021.0,1.9,1114.0,1552 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Morgan County,13211.0,2.0,132.0,1530 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Douglas County,13097.0,2.0,956.0,1526 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Chattahoochee County,13053.0,2.0,50.0,1504 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Coweta County,13077.0,2.0,1009.0,1503 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Dawson County,13085.0,2.0,171.0,1500 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Chatham County,13051.0,2.0,2198.0,1455 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Richmond County,13245.0,2.1,1489.0,1442 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Calhoun County,13037.0,2.1,39.0,1412 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Monroe County,13207.0,2.1,201.0,1407 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,13,crowd,manyareacensus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
